id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
74254;"LeonardoPicciani";pmdb;RJ;sim;sim;sim;sim;sim;sim;não;sim;não votou;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim
141482;"LeonardoQuintão";pmdb;MG;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
141483;"LindomarGarçon";pmdb;RO;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;não votou;não;sim;não votou;abstção;sim;sim;sim;sim
178954;"LucioMosquini";pmdb;RO;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;não
94931;"LucioVieiraLima";pmdb;BA;sim;sim;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;não votou;sim;não votou;sim;sim;sim;sim;sim;sim
141490;"ManoelJunior";pmdb;PB;sim;sim;sim;não votou;sim;sim;sim;sim;sim;não votou;não votou;não votou;sim;sim;sim;sim;sim;sim;sim
74460;"MarceloCastro";pmdb;PI;não;sim;sim;não votou;sim;sim;sim;não;não votou;sim;não votou;não votou;sim;sim;sim;abstção;não;não;sim
178850;"MarcosRotta";pmdb;AM;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
74177;"MarinhaRaupp";pmdb;RO;não;não votou;sim;sim;sim;não votou;sim;não;sim;sim;não votou;não votou;sim;sim;não;não;sim;não;não
181315;"MarquinhoMendes";pmdb;RJ;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
178843;"MarxBeltrão";pmdb;AL;sim;sim;não;não votou;não;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
74749;"MauroLopes";pmdb;MG;sim;sim;sim;não;sim;sim;não votou;não votou;sim;não votou;sim;sim;sim;sim;sim;não votou;sim;sim;sim
141507;"MauroMariani";pmdb;SC;não;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;sim;sim
124411;"MauroPereira";pmdb;RS;não;sim;sim;sim;sim;não;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
178896;"NewtonCardosoJr";pmdb;MG;sim;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim;não;sim;não votou;não votou;sim;sim;sim
73463;"OsmarSerraglio";pmdb;PR;sim;sim;sim;não votou;não votou;não votou;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
73692;"OsmarTerra";pmdb;RS;não votou;não votou;não votou;sim;sim;sim;não votou;não;sim;sim;não votou;sim;sim;sim;não;não;não votou;não votou;não
74812;"PedroChaves";pmdb;GO;sim;sim;sim;não;sim;sim;sim;não;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim
