nome;cod_dept;partido;UF;votacao_PL_124
Celso Pansera;72912;PMDB;RJ;Sim
Marinaldo Rosendo;178919;PSB;PE;Sim
Samuel Moreira;178990;PSDB;SP;Sim
Jerônimo Goergen;160570;PP ;RS;Sim
Andres Sanchez;178974;PT ;SP;Sim
Max Filho;178827;PSDB;ES;Sim
Rubens Otoni;74371;PT ;GO;Sim
Marcelo Aguiar;160660;DEM;SP;Sim
Wadson Ribeiro;137853;PCdoB ;MG;Sim
Fernando Monteiro;92699;PP ;PE;Sim
Pastor Franklin;186775;PTdoB ;MG;Sim
Fabio Reis;171623;PMDB;SE;Sim
Misael Varella;178895;DEM;MG;Sim
Sergio Vidigal;178874;PDT;ES;Sim
Professora Dorinha Seabra Rezende;160639;DEM;TO;Sim
Beto Rosado;178948;PP ;RN;Sim
Edio Lopes;141417;PMDB;RR;Sim
Lincoln Portela;74585;PR ;MG;Sim
Rocha;178840;PSDB;AC;Sim
Alceu Moreira;160559;PMDB;RS;Sim
Chico Lopes;141440;PCdoB ;CE;Sim
Pedro Chaves;74812;PMDB;GO;Sim
Daniel Vilela;144523;PMDB;GO;Sim
Rogério Peninha Mendonça;160651;PMDB;SC;Sim
César Messias;178838;PSB;AC;Sim
Júlia Marinho;67312;PSC;PA;Sim
Heitor Schuch;178964;PSB;RS;Sim
Silvio Torres;73560;PSDB;SP;Sim
Givaldo Vieira;178872;PT ;ES;Sim
Francisco Floriano;160677;PR ;RJ;Sim
Vicentinho Júnior;137070;PSB;TO;Sim
Beto Faro;141335;PT ;PA;Sim
Erika Kokay;160575;PT ;DF;Sim
Heráclito Fortes;97707;PSB;PI;Sim
Moroni Torgan;74457;DEM;CE;Sim
João Castelo;74445;PSDB;MA;Sim
Marcio Alvino;178983;PR ;SP;Sim
Jair Bolsonaro;74847;PP ;RJ;Sim
Ronaldo Nogueira;163321;PTB;RS;Sim
Jô Moraes;141503;PCdoB ;MG;Sim
Lucas Vergilio;178879;Solidaried;GO;Sim
Hissa Abrahão;178849;PPS;AM;Sim
Lindomar Garçon;141483;PMDB;RO;Sim
Luis Tibé;160510;PTdoB ;MG;Sim
Benito Gama;74535;PTB;BA;Sim
Marcus Pestana;159238;PSDB;MG;Sim
Ezequiel Fonseca;178904;PP ;MT;Sim
Stefano Aguiar;92776;PSB;MG;Sim
Alexandre Serfiotis;178833;PSD;RJ;Sim
Daniel Coelho;178916;PSDB;PE;Sim
Nilto Tatto;178986;PT ;SP;Sim
Eli Corrêa Filho;160532;DEM;SP;Sim
Wilson Filho;160636;PTB;PB;Sim
Ronaldo Benedet;160515;PMDB;SC;Sim
Bonifácio de Andrada;74650;PSDB;MG;Sim
Abel Mesquita Jr.;178957;PDT;RR;Sim
Cabo Daciolo;178938;S.Part. ;RJ;Sim
Tenente Lúcio;178898;PSB;MG;Sim
José Carlos Araújo;74140;PSD;BA;Sim
Arlindo Chinaglia;73433;PT ;SP;Sim
Marcelo Matos;76287;PDT;RJ;Sim
Sandro Alex;160621;PPS;PR;Sim
Maria Helena;64960;PSB;RR;Sim
Giovani Cherini;160673;PDT;RS;Sim
Benjamin Maranhão;74040;Solidaried;PB;Sim
Luis Carlos Heinze;73483;PP ;RS;Sim
Alfredo Nascimento;178846;PR ;AM;Sim
Rômulo Gouveia;141536;PSD;PB;Sim
Marx Beltrão;178843;PMDB;AL;Sim
Fernando Marroni;73481;PT ;RS;Sim
