nome;cod_dept;partido;UF;votacao_PL13
Heitor Schuch;178964;PSB;RS;Sim
Silvio Torres;73560;PSDB;SP;Sim
Dâmina Pereira;178892;PMN;MG;Sim
Givaldo Vieira;178872;PT ;ES;Sim
Francisco Floriano;160677;PR ;RJ;Sim
Vicentinho Júnior;137070;PSB;TO;Sim
Veneziano Vital do Rêgo;178913;PMDB;PB;Sim
Giacobo;74383;PR ;PR;Art. 17
Beto Faro;141335;PT ;PA;Sim
Erika Kokay;160575;PT ;DF;Sim
Heráclito Fortes;97707;PSB;PI;Sim
Moroni Torgan;74457;DEM;CE;Sim
João Castelo;74445;PSDB;MA;Sim
Carlos Melles;74651;DEM;MG;Sim
Jair Bolsonaro;74847;PP ;RJ;Não
Sergio Souza;178933;PMDB;PR;Sim
Ronaldo Nogueira;163321;PTB;RS;Sim
Jô Moraes;141503;PCdoB ;MG;Sim
Lucas Vergilio;178879;Solidaried;GO;Sim
Hissa Abrahão;178849;PPS;AM;Sim
Lucio Mosquini;178954;PMDB;RO;Sim
Keiko Ota;160659;PSB;SP;Sim
Indio da Costa;141389;PSD;RJ;Sim
Tereza Cristina;178901;PSB;MS;Sim
Subtenente Gonzaga;177282;PDT;MG;Sim
Luis Tibé;160510;PTdoB ;MG;Sim
Bruno Covas;178976;PSDB;SP;Sim
Paes Landim;74319;PTB;PI;Sim
Marcus Pestana;159238;PSDB;MG;Sim
Arnaldo Jordy;160602;PPS;PA;Sim
Ezequiel Fonseca;178904;PP ;MT;Sim
Stefano Aguiar;92776;PSB;MG;Sim
Alexandre Serfiotis;178833;PSD;RJ;Sim
Daniel Coelho;178916;PSDB;PE;Sim
Nilto Tatto;178986;PT ;SP;Sim
João Daniel;178970;PT ;SE;Sim
Wilson Filho;160636;PTB;PB;Sim
Ronaldo Benedet;160515;PMDB;SC;Sim
Bonifácio de Andrada;74650;PSDB;MG;Sim
Abel Mesquita Jr.;178957;PDT;RR;Sim
Cabo Daciolo;178938;PSOL;RJ;Sim
Tenente Lúcio;178898;PSB;MG;Sim
José Carlos Araújo;74140;PSD;BA;Sim
Arlindo Chinaglia;73433;PT ;SP;Sim
Marcelo Matos;76287;PDT;RJ;Sim
Sandro Alex;160621;PPS;PR;Sim
Mendonça Filho;74428;DEM;PE;Sim
Maria Helena;64960;PSB;RR;Sim
André Fufuca;178882;PEN;MA;Sim
Benjamin Maranhão;74040;Solidaried;PB;Sim
Luis Carlos Heinze;73483;PP ;RS;Sim
Alfredo Nascimento;178846;PR ;AM;Sim
Cabo Sabino;178865;PR ;CE;Sim
Rômulo Gouveia;141536;PSD;PB;Sim
Marx Beltrão;178843;PMDB;AL;Sim
Fernando Marroni;73481;PT ;RS;Sim
Raul Jungmann;74048;PPS;PE;Sim
