id_dep;deputado;IMPEACHMENT;nome
178861;Ronaldo Carletto;NAO;RonaldoCarletto
160637;Ronaldo Fonseca;SIM;RonaldoFonseca
178845;Ronaldo Lessa;NAO;RonaldoLessa
122466;Ronaldo Martins;SIM;RonaldoMartins
163321;Ronaldo Nogueira;SIM;RonaldoNogueira
178945;Rosangela Gomes;SIM;RosangelaGomes
73466;Rubens Bueno;SIM;RubensBueno
74371;Rubens Otoni;NAO;RubensOtoni
178990;Samuel Moreira;SIM;SamuelMoreira
160621;Sandro Alex;SIM;SandroAlex
74762;Saraiva Felipe;SIM;SaraivaFelipe
74210;Sarney Filho;SIM;SarneyFilho
178933;Sergio Souza;SIM;SergioSouza
178874;Sergio Vidigal;SIM;SergioVidigal
160612;Sergio Zveiter;SIM;SergioZveiter
4930;Silvio Costa;NAO;SilvioCosta
73560;Silvio Torres;SIM;SilvioTorres
178911;Simone Morgado;NAO;SimoneMorgado
178946;Soraya Santos;SIM;SorayaSantos
92776;Stefano Aguiar;SIM;StefanoAguiar
177282;Subtenente Gonzaga;SIM;SubtenenteGonzaga
178922;Tadeu Alencar;SIM;TadeuAlencar
74385;Takayama;SIM;Takayama
178901;Tereza Cristina;SIM;TerezaCristina
160617;Thiago Peixoto;SIM;ThiagoPeixoto
178862;Tia Eron;SIM;TiaEron
160976;Tiririca;SIM;Tiririca
160611;Toninho Pinheiro;SIM;ToninhoPinheiro
178934;Toninho Wandscheer;SIM;ToninhoWandscheer
178863;Uldurico Junior;SIM;UlduricoJunior
141384;Valadares Filho;SIM;ValadaresFilho
74010;Valdir Colatto;SIM;ValdirColatto
113247;Valmir Prascidelli;NAO;ValmirPrascidelli
141552;Valtenir Pereira;NAO;ValtenirPereira
141553;Vanderlei Macris;SIM;VanderleiMacris
74376;Vander Loubet;NAO;VanderLoubet
74308;Vicente Arruda;NAO;VicenteArruda
160622;Vicente Candido;NAO;VicenteCandido
74283;Vicentinho;NAO;Vicentinho
178888;Victor Mendes;SIM;VictorMendes
141555;Vinicius Carvalho;SIM;ViniciusCarvalho
160591;Vinicius Gurgel;ABST;ViniciusGurgel
178992;Vitor Lippi;SIM;VitorLippi
178869;Vitor Valim;SIM;VitorValim
189593;Wadih Damous;NAO;WadihDamous
160569;Waldenor Pereira;NAO;WaldenorPereira
178952;Walter Alves;SIM;WalterAlves
160620;Washington Reis;SIM;WashingtonReis
160518;Weliton Prado;SIM;WelitonPrado
74043;Wellington Roberto;NAO;WellingtonRoberto
167493;Weverton Rocha;NAO;WevertonRocha
160636;Wilson Filho;SIM;WilsonFilho
73930;Wladimir Costa;SIM;WladimirCosta
74439;Wolney Queiroz;NAO;WolneyQueiroz
178923;Zeca Cavalcanti;NAO;ZecaCavalcanti
160592;Zeca Dirceu;NAO;ZecaDirceu
178949;Zenaide Maia;NAO;ZenaideMaia
